date,from_currency,to_currency,exchange
19/01/2015,GBP,EUR,1.3048
19/01/2015,GBP,GBP,1
19/01/2015,GBP,USD,1.51422
19/01/2015,USD,AUD,1.21792
19/01/2015,USD,CAD,1.19828
19/01/2015,USD,EUR,0.8617
19/01/2015,USD,GBP,0.6604
19/01/2015,USD,USD,1
20/01/2015,AUD,AUD,1
20/01/2015,AUD,CAD,0.98492
20/01/2015,AUD,EUR,0.70806
20/01/2015,AUD,GBP,0.54075
20/01/2015,AUD,USD,0.81987
20/01/2015,CAD,AUD,1.01531
20/01/2015,CAD,CAD,1
20/01/2015,CAD,EUR,0.71891
20/01/2015,CAD,GBP,0.54903
20/01/2015,CAD,USD,0.83242
20/01/2015,EUR,AUD,1.4123
20/01/2015,EUR,CAD,1.391
20/01/2015,EUR,EUR,1
20/01/2015,EUR,GBP,0.7637
20/01/2015,EUR,USD,1.1579
20/01/2015,GBP,AUD,1.84929
20/01/2015,GBP,CAD,1.8214
20/01/2015,GBP,EUR,1.30941
20/01/2015,GBP,GBP,1
20/01/2015,GBP,USD,1.51617
20/01/2015,USD,AUD,1.21971
20/01/2015,USD,CAD,1.20131
20/01/2015,USD,EUR,0.86363
20/01/2015,USD,GBP,0.65956
20/01/2015,USD,USD,1
21/01/2015,AUD,AUD,1
21/01/2015,AUD,CAD,0.99192
21/01/2015,AUD,EUR,0.70857
21/01/2015,AUD,GBP,0.54354
21/01/2015,AUD,USD,0.82144
21/01/2015,CAD,AUD,1.00814
21/01/2015,CAD,CAD,1
21/01/2015,CAD,EUR,0.71434
21/01/2015,CAD,GBP,0.54797
21/01/2015,CAD,USD,0.82813
21/01/2015,EUR,AUD,1.4113
21/01/2015,EUR,CAD,1.3999
21/01/2015,EUR,EUR,1
21/01/2015,EUR,GBP,0.7671
21/01/2015,EUR,USD,1.1593
21/01/2015,GBP,AUD,1.83979
21/01/2015,GBP,CAD,1.82493
21/01/2015,GBP,EUR,1.30361
21/01/2015,GBP,GBP,1
21/01/2015,GBP,USD,1.51128
21/01/2015,USD,AUD,1.21737
21/01/2015,USD,CAD,1.20754
21/01/2015,USD,EUR,0.86259
21/01/2015,USD,GBP,0.66169
21/01/2015,USD,USD,1
22/01/2015,AUD,AUD,1
22/01/2015,AUD,CAD,1.00378
22/01/2015,AUD,EUR,0.69935
22/01/2015,AUD,GBP,0.53458
22/01/2015,AUD,USD,0.8125
22/01/2015,CAD,AUD,0.99624
22/01/2015,CAD,CAD,1
22/01/2015,CAD,EUR,0.69672
22/01/2015,CAD,GBP,0.53257
22/01/2015,CAD,USD,0.80945
22/01/2015,EUR,AUD,1.4299
22/01/2015,EUR,CAD,1.4353
22/01/2015,EUR,EUR,1
22/01/2015,EUR,GBP,0.7644
22/01/2015,EUR,USD,1.1618
22/01/2015,GBP,AUD,1.87062
22/01/2015,GBP,CAD,1.87768
22/01/2015,GBP,EUR,1.30822
22/01/2015,GBP,GBP,1
22/01/2015,GBP,USD,1.51988
22/01/2015,USD,AUD,1.23076
22/01/2015,USD,CAD,1.23541
22/01/2015,USD,EUR,0.86073
22/01/2015,USD,GBP,0.65794
22/01/2015,USD,USD,1
23/01/2015,AUD,AUD,1
23/01/2015,AUD,CAD,0.98363
23/01/2015,AUD,EUR,0.70577
23/01/2015,AUD,GBP,0.52742
23/01/2015,AUD,USD,0.79032
23/01/2015,CAD,AUD,1.01665
23/01/2015,CAD,CAD,1
23/01/2015,CAD,EUR,0.71751
23/01/2015,CAD,GBP,0.5362
23/01/2015,CAD,USD,0.80347
23/01/2015,EUR,AUD,1.4169
23/01/2015,EUR,CAD,1.3937
23/01/2015,EUR,EUR,1
23/01/2015,EUR,GBP,0.7473
23/01/2015,EUR,USD,1.1198
23/01/2015,GBP,AUD,1.89603
23/01/2015,GBP,CAD,1.86498
23/01/2015,GBP,EUR,1.33815
23/01/2015,GBP,GBP,1
23/01/2015,GBP,USD,1.49846
23/01/2015,USD,AUD,1.26532
23/01/2015,USD,CAD,1.2446
23/01/2015,USD,EUR,0.89302
23/01/2015,USD,GBP,0.66735
23/01/2015,USD,USD,1
24/01/2015,AUD,AUD,1
24/01/2015,AUD,CAD,0.98363
24/01/2015,AUD,EUR,0.70577
24/01/2015,AUD,GBP,0.52742
24/01/2015,AUD,USD,0.79032
24/01/2015,CAD,AUD,1.01665
24/01/2015,CAD,CAD,1
24/01/2015,CAD,EUR,0.71751
24/01/2015,CAD,GBP,0.5362
24/01/2015,CAD,USD,0.80347
24/01/2015,EUR,AUD,1.4169
24/01/2015,EUR,CAD,1.3937
24/01/2015,EUR,EUR,1
24/01/2015,EUR,GBP,0.7473
24/01/2015,EUR,USD,1.1198
24/01/2015,GBP,AUD,1.89603
24/01/2015,GBP,CAD,1.86498
24/01/2015,GBP,EUR,1.33815
24/01/2015,GBP,GBP,1
24/01/2015,GBP,USD,1.49846
24/01/2015,USD,AUD,1.26532
24/01/2015,USD,CAD,1.2446
24/01/2015,USD,EUR,0.89302
24/01/2015,USD,GBP,0.66735
24/01/2015,USD,USD,1
25/01/2015,AUD,AUD,1
25/01/2015,AUD,CAD,0.98363
25/01/2015,AUD,EUR,0.70577
25/01/2015,AUD,GBP,0.52742
25/01/2015,AUD,USD,0.79032
25/01/2015,CAD,AUD,1.01665
25/01/2015,CAD,CAD,1
25/01/2015,CAD,EUR,0.71751
25/01/2015,CAD,GBP,0.5362
25/01/2015,CAD,USD,0.80347
25/01/2015,EUR,AUD,1.4169
25/01/2015,EUR,CAD,1.3937
25/01/2015,EUR,EUR,1
25/01/2015,EUR,GBP,0.7473
25/01/2015,EUR,USD,1.1198
25/01/2015,GBP,AUD,1.89603
25/01/2015,GBP,CAD,1.86498
25/01/2015,GBP,EUR,1.33815
25/01/2015,GBP,GBP,1
25/01/2015,GBP,USD,1.49846
25/01/2015,USD,AUD,1.26532
25/01/2015,USD,CAD,1.2446
25/01/2015,USD,EUR,0.89302
25/01/2015,USD,GBP,0.66735
25/01/2015,USD,USD,1
26/01/2015,AUD,AUD,1
26/01/2015,AUD,CAD,0.98468
26/01/2015,AUD,EUR,0.70289
26/01/2015,AUD,GBP,0.52643
26/01/2015,AUD,USD,0.79033
26/01/2015,CAD,AUD,1.01556
26/01/2015,CAD,CAD,1
26/01/2015,CAD,EUR,0.71383
